Az,Ay,Ax
-0.198990522,-0.821615074,0.481684542
-0.006101239,-0.470763409,0.717792442
-0.00524665,-0.108175713,0.832321104
-0.197862961,0.182492995,0.829483104
-0.31524314,0.433797075,0.702538321
-0.269451732,0.60718848,0.473022586
-0.124668582,0.674430709,0.162916772
0.035853988,0.718953741,-0.003752631
0.136878075,0.815778623,0.014739596
0.160825316,0.91795831,0.148811528
0.161131094,0.933088075,0.333940351
0.205614927,0.833145937,0.481770248
0.258787714,0.681710929,0.600670184
0.367917878,0.564097526,0.665107731
0.547120709,0.468883586,0.643508405
0.709036816,0.38741351,0.569067569
0.732784625,0.371841262,0.436398051
0.7078875,0.406267848,0.254685832
0.724054206,0.444603131,0.143084383
0.816505695,0.558997572,0.099045042
0.97639647,0.717088532,0.145681852
1.107118434,0.849465204,0.187501105
1.106914363,0.860260154,0.186447139
0.960389265,0.792349817,0.121927175
0.816506937,0.695649438,0.116310796
0.867936023,0.631008331,0.123938222
1.043302088,0.630793227,0.192021944
1.188367489,0.676816727,0.286224149
1.240876259,0.666802698,0.388285909
1.185515022,0.493834488,0.502151796
1.110726688,0.22448154,0.697440267
1.066548451,0.02230594,0.897062529
1.20986087,-0.114374567,1.016870374
1.362776545,-0.103459205,0.970236487
1.240780982,0.043631052,0.827450064
1.085869822,0.262895734,0.6791969
1.093886539,0.402191977,0.634176147
1.326152742,0.446167312,0.631428456
1.597001481,0.422752534,0.736199183
1.636307071,0.238501882,0.864663504
1.28351187,-0.338304903,0.796229946
0.781041656,-1.209816519,0.355119114
0.410708497,-1.854672758,-0.46010984
-0.181388833,-2.082525236,-1.091727608
-0.677456194,-2.042297855,-1.205580708
-0.852369693,-1.762351618,-1.0545781
-0.738566204,-1.338845635,-0.607640899
-0.684075904,-0.79752342,0.132547572
-0.885488704,-0.448017908,1.01645529
-1.009955626,-0.38401393,1.583896792
-1.26501409,-0.330420872,1.39521751
-1.770606236,-0.147822079,0.725854899
-2.027564397,0.123342887,0.112994292
-1.948866123,0.274911166,-0.27998109
-1.869645871,0.221084299,-0.565029838
-1.743635811,-0.088461543,-0.652733329
-1.518266382,-0.492650831,-0.569623815
-1.235479953,-0.766105953,-0.471136991
-0.915169556,-0.804599642,-0.441550977
-0.760287037,-0.705593909,-0.549270763
-0.889126183,-0.66797408,-0.770995844
-0.922146409,-0.599453501,-0.963220397
-0.59947922,-0.506231612,-1.067190621
-0.377429876,-0.4324404,-1.072930334
-0.268943198,-0.290021641,-1.047603219
-0.020121582,-0.089254739,-1.086760195
0.103331195,0.163240597,-1.069336035
0.043571431,0.413842082,-0.998417164
-0.018044775,0.687321754,-0.862613878
-0.171445531,0.966465444,-0.701623105
-0.163969496,1.182047053,-0.554822332
-0.013761399,1.332035955,-0.413420058
0.077866499,1.446720319,-0.348993617
0.177772944,1.570204659,-0.364567764
0.195779214,1.635326243,-0.41820057
0.187033013,1.655684556,-0.478003662
0.170064269,1.466678234,-0.504760078
0.273515912,1.224181729,-0.525917725
0.434693147,1.176328091,-0.554239126
0.484791934,1.131336857,-0.577404021
0.53885904,1.085017004,-0.685335257
0.60250993,1.058700075,-0.779014826
0.600620207,1.063718196,-0.830879161
0.805026927,1.040705569,-0.811178217
1.215063699,1.066743681,-0.706922089
1.317977034,1.121737838,-0.579358516
1.111766479,1.210440789,-0.48056226
0.905761019,1.273316639,-0.45232788
0.865664644,1.193389116,-0.484758032
0.990122798,1.023996426,-0.516856467
1.186514554,0.864565158,-0.485549109
1.253627604,0.684122082,-0.472921683
1.184402092,0.42500119,-0.522675894
1.104093461,-0.045922962,-0.546991493
0.974766823,-0.653902884,-0.451497786
1.095268934,-1.096140456,-0.203113977
1.431573603,-1.317771283,0.114453112
1.345289989,-1.735565902,0.436033675
0.624412002,-2.304615497,0.798502786
0.130658178,-2.533956752,0.690530926
0.573889437,-2.18668996,0.07621917
0.807606422,-1.766196018,-0.682486589
0.234655728,-1.63605105,-1.512821707
-0.400289942,-1.501369024,-2.182732162
-0.625139147,-0.960429671,-2.430934769
-0.535032175,-0.172068631,-2.409907909
-0.962175053,0.230161339,-2.093689897
-1.766912057,0.35168987,-1.199029022
-2.276463169,0.280890241,0.076865067
-2.659628959,0.079295071,1.018462027
-2.616782335,-0.298615867,1.452752584
-2.218960244,-0.519719455,1.524594124
-1.797034224,-0.536205895,1.243211132
-1.368525903,-0.422065721,0.779772659
-1.038576156,-0.368148253,0.342585941
-0.992201358,-0.465839396,-0.018104543
-0.998941991,-0.700718996,-0.293140358
-0.942298386,-0.896780497,-0.310754633
